name,solution
C0000001,7
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,0
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,0
C0000038,0
C0000039,0
C0000040,0
C0000041,0
C0000042,0
C0000043,0
C0000044,0
C0000045,0
C0000046,0
C0000047,0
C0000048,2
C0000049,0
C0000050,0
C0000051,0
C0000052,0
C0000053,0
C0000054,0
C0000055,0
C0000056,0
C0000057,0
C0000058,0
C0000059,0
C0000060,0
C0000061,0
C0000062,0
C0000063,0
C0000064,0
C0000065,0
C0000066,0
C0000067,0
C0000068,0
C0000069,0
C0000070,0
C0000071,0
C0000072,0
C0000073,0
C0000074,0
C0000075,0
C0000076,0
C0000077,0
C0000078,0
C0000079,0
C0000080,0
C0000081,0
C0000082,0
C0000083,0
C0000084,0
C0000085,0
C0000086,0
C0000087,0
C0000088,0
C0000089,0
C0000090,0
C0000091,0
C0000092,0
C0000093,0
C0000094,0
C0000095,0
C0000096,0
C0000097,0
C0000098,0
C0000099,0
C0000100,0
C0000101,0
C0000102,0
C0000103,0
C0000104,0
C0000105,0
C0000106,0
C0000107,0
C0000108,0
C0000109,0
C0000110,0
C0000111,0
C0000112,0
C0000113,0
C0000114,0
C0000115,0
C0000116,0
C0000117,0
C0000118,0
C0000119,0
C0000120,0
C0000121,0
C0000122,0
C0000123,0
C0000124,0
C0000125,0
C0000126,0
C0000127,0
C0000128,0
C0000129,1
C0000130,0
C0000131,0
C0000132,0
C0000133,0
C0000134,0
C0000135,0
C0000136,0
C0000137,10
C0000138,4
C0000139,10
C0000140,9
C0000141,12
C0000142,11
C0000143,15
C0000144,15
C0000145,13
C0000146,16
C0000147,16
C0000148,16
C0000149,6
C0000150,13
C0000151,13
C0000152,13
C0000153,13
C0000154,13
C0000155,9
C0000156,13
C0000157,13
C0000158,13
C0000159,13
C0000160,13
C0000161,14
C0000162,14
C0000163,14
C0000164,14
C0000165,14
C0000166,15
C0000167,9
C0000168,15
C0000169,15
C0000170,15
C0000171,15
C0000172,15
C0000173,16
C0000174,16
C0000175,16
C0000176,17
C0000177,17
C0000178,17
C0000179,17
C0000180,17
C0000181,17
C0000182,18
C0000183,13
C0000184,18
C0000185,18
C0000186,18
C0000187,18
C0000188,19
C0000189,19
C0000190,19
C0000191,19
C0000192,19
C0000193,19
C0000194,20
C0000195,20
C0000196,20
C0000197,20
C0000198,20
C0000199,21
C0000200,21
C0000201,22
C0000202,22
C0000203,24
C0000204,13
C0000205,13
C0000206,14
C0000207,13
C0000208,13
C0000209,14
C0000210,14
C0000211,15
C0000212,14
C0000213,14
C0000214,16
C0000215,15
C0000216,15
C0000217,16
C0000218,16
C0000219,17
C0000220,16
C0000221,16
C0000222,17
C0000223,17
C0000224,18
C0000225,17
C0000226,17
C0000227,18
C0000228,18
C0000229,19
C0000230,18
C0000231,18
C0000232,20
C0000233,19
C0000234,19
C0000235,20
C0000236,20
C0000237,21
C0000238,20
C0000239,20
C0000240,22
C0000241,22
C0000242,23
C0000243,25
C0000244,25
C0000245,25
C0000246,14
C0000247,14
C0000248,14
C0000249,15
C0000250,16
C0000251,16
C0000252,16
C0000253,17
C0000254,17
C0000255,17
C0000256,18
C0000257,18
C0000258,18
C0000259,19
C0000260,20
C0000261,20
C0000262,20
C0000263,21
C0000264,22
C0000265,22
C0000266,23
C0000267,26
C0000268,3
C0000269,3
C0000270,4
C0000271,0
C0000272,0
C0000273,1
